r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4
220,231,224,226,201,221,244,186,191,94,71,73
120,155,96,173,194,144,140,108,48,32,48,16
77,52,160,229,182,231,81,201,210,255,215,0
42,97,109,69,117,69,253,242,237,237,206,189
52,32,48,205,155,128,242,157,180,250,232,224
253,192,160,207,209,209,77,0,17,0,0,0
255,194,199,255,255,255,154,90,67,212,233,240
209,230,242,118,212,234,246,195,36,154,192,38
240,198,166,62,31,62,255,128,112,33,197,196
197,95,252,56,19,51,217,153,45,150,25,178
117,100,87,59,60,56,213,187,169,241,236,228
255,136,130,84,56,85,232,141,114,255,203,164
43,86,21,248,207,44,219,85,212,155,148,138
3,217,48,210,52,176,44,70,196,255,232,69
255,228,226,204,82,22,255,103,27,144,3,0
112,84,70,225,195,145,253,244,227,60,52,49
218,164,134,250,252,240,19,251,226,0,130,145
77,0,17,78,112,106,31,25,43,238,199,187
206,175,180,148,80,85,41,0,10,235,30,43
65,176,193,240,72,84,80,81,73,226,228,231
105,94,147,199,159,167,223,209,169,40,118,134
151,92,173,253,98,173,0,156,223,170,226,59
147,128,104,189,151,203,212,187,221,235,230,218
84,136,165,93,189,234,163,196,195,251,226,156
95,90,95,176,185,122,244,149,134,247,225,136
156,159,75,252,232,218,249,191,178,71,79,29
254,228,173,214,37,152,249,209,192,5,10,97
225,0,50,219,232,225,27,68,128,1,49,32
129,72,39,225,166,126,46,39,20,170,148,115
234,232,221,241,200,58,208,180,159,169,209,228
226,234,238,254,198,197,250,220,175,189,240,214
131,101,89,244,248,243,205,172,121,98,132,116
174,184,196,5,38,59,22,59,80,156,166,184
95,52,226,212,187,221,73,169,192,245,215,16
65,72,60,252,201,49,204,216,199,238,238,238
205,189,178,137,172,170,187,97,108,24,58,80
224,209,219,185,150,141,44,57,61,230,196,185
213,193,185,145,73,85,33,34,35,173,179,188
178,42,128,233,48,192,254,255,96,255,142,249
244,181,160,228,218,207,241,220,182,180,248,200
221,199,160,200,118,32,115,96,19,114,39,32
40,75,112,119,162,144,253,208,90,147,134,112
211,199,161,37,34,32,127,175,192,212,157,64
239,192,129,188,10,15,175,159,48,239,238,233
255,245,236,206,108,47,72,188,207,17,133,146
39,62,71,218,192,166,73,159,164,91,74,82
38,62,43,175,14,80,228,44,144,239,208,208
255,101,1,183,131,38,189,37,20,134,120,92
1,40,96,254,200,77,20,154,162,238,218,220
216,88,28,179,193,168,146,158,173,61,80,58
101,70,62,185,154,135,201,190,177,235,235,229
92,99,112,224,203,192,93,84,80,133,75,91
156,90,64,200,152,112,251,229,224,246,235,224
241,250,252,61,181,196,201,228,235,0,74,148
41,96,144,179,216,224,19,47,112,11,40,64
25,56,85,203,14,85,63,190,224,233,218,196
174,184,196,33,67,88,21,27,37,156,166,184
0,41,82,216,225,231,209,93,132,120,161,229
187,209,192,190,12,61,226,83,113,229,181,176
222,220,228,201,141,38,3,166,90,0,94,56
254,246,245,255,196,53,124,243,160,248,50,18
107,207,220,177,206,207,144,81,113,76,59,85
217,178,149,255,136,130,207,201,203,92,129,92
31,55,80,41,74,65,81,128,96,137,172,160
181,179,202,161,106,232,71,113,88,0,8,0
237,180,192,239,241,250,231,214,192,190,205,203
31,45,96,211,56,96,250,240,192,251,94,137
118,151,125,220,114,96,118,148,171,107,109,108
222,216,205,195,165,124,99,79,64,219,154,125
103,103,111,169,112,97,239,194,168,250,235,217
133,75,91,54,52,48,241,185,48,197,73,32
155,130,112,230,213,224,191,182,176,250,220,220
248,242,245,192,136,243,156,128,234,85,124,223
239,216,191,249,127,189,230,197,216,180,248,200
51,107,145,236,245,244,0,41,82,195,140,31
47,47,27,231,225,224,50,74,96,232,171,22
0,31,61,204,218,218,15,74,111,20,119,178
136,66,144,69,40,88,216,183,166,241,236,228
255,215,0,244,236,240,215,223,184,235,179,184
26,214,204,235,50,152,49,237,49,245,220,22
64,104,80,186,199,176,102,143,112,37,64,48
146,207,147,10,76,118,226,237,221,222,202,186
180,100,163,96,46,158,159,199,170,160,47,0
11,31,101,22,72,143,12,33,68,7,17,37
126,54,128,239,225,232,66,2,100,166,84,223
237,36,97,83,0,33,57,129,112,189,244,141
44,94,23,145,211,76,168,15,250,92,3,140
169,121,80,6,147,144,255,243,67,251,54,144
222,230,224,130,228,208,36,134,128,29,84,80
252,225,104,250,186,162,235,207,170,125,124,166
171,32,42,51,81,85,21,20,26,248,207,44
46,64,7,43,84,52,227,204,222,176,203,176
255,227,42,103,225,232,84,40,171,222,210,205
47,42,69,39,10,17,255,11,172,252,243,166
174,127,96,179,88,64,245,238,224,215,149,128
103,63,64,253,144,43,253,214,82,208,209,211
102,124,48,171,167,48,205,223,80,225,205,48
130,158,178,228,205,172,213,166,154,158,93,110
37,30,32,250,212,128,96,58,112,247,150,48
52,42,64,241,46,144,194,255,144,248,148,208
236,253,241,180,248,200,209,188,159,229,78,127
10,53,67,255,173,111,180,248,200,203,224,221
71,70,63,139,197,190,175,86,98,246,200,204
229,201,81,208,121,135,160,106,180,21,129,154
30,85,21,44,119,33,85,209,66,215,215,168
246,106,166,255,143,69,124,243,160,180,248,200
1,22,31,253,23,0,2,137,75,189,211,172
80,101,91,150,178,181,250,185,84,255,229,112
126,124,127,199,206,214,244,238,220,220,219,218
218,194,188,157,169,147,82,88,77,9,10,14
56,102,142,30,53,81,198,211,216,101,136,145
69,205,225,255,196,96,171,179,198,157,27,111
19,92,0,255,216,0,251,100,165,181,163,255
254,178,129,53,54,67,78,195,61,255,143,98
35,36,37,212,217,221,236,242,247,204,186,145
78,81,78,102,102,102,165,171,160,219,221,208
160,195,217,73,159,164,19,52,76,242,243,238
226,225,223,208,193,169,92,52,30,47,24,11
255,11,172,0,149,52,236,155,231,22,216,51
186,198,173,15,124,79,244,151,40,117,230,218
223,219,208,88,82,64,138,158,160,42,46,48
143,59,33,143,145,107,221,153,39,204,205,199
202,168,140,255,63,0,39,64,218,12,20,70
34,88,39,154,18,175,182,55,251,225,166,247
163,0,82,220,76,96,181,113,112,233,177,160
253,192,160,207,209,209,116,17,47,0,0,0
146,219,240,243,246,254,195,114,168,189,240,214
5,5,5,18,51,69,117,114,126,255,0,57
204,202,169,132,94,119,197,152,175,150,16,134
249,82,30,191,70,132,203,174,17,0,141,124
15,15,27,27,41,25,123,88,61,240,211,193
145,63,48,160,180,160,214,188,128,114,103,80
255,163,3,162,171,206,255,74,56,255,224,174
180,248,200,148,237,255,10,76,134,29,59,88
23,11,59,0,25,81,155,13,234,65,32,169
198,242,244,124,192,212,93,189,211,23,74,109
244,239,228,234,182,184,214,179,229,244,189,156
255,11,172,73,0,52,246,180,5,253,188,253
21,169,169,182,226,211,234,220,194,165,169,148
246,205,196,252,132,31,180,151,191,93,25,102
225,167,48,224,227,215,40,121,192,171,57,16
255,159,91,148,171,91,242,199,98,240,108,87
209,161,28,188,10,15,116,153,146,226,231,225
67,31,16,179,179,160,200,118,32,231,219,192
255,236,221,255,193,197,255,11,172,251,249,0
0,134,203,104,205,231,247,249,167,240,249,249
41,70,82,55,148,125,255,39,104,180,0,82
61,6,16,159,8,64,242,100,208,238,153,208
59,34,68,204,58,115,180,184,245,221,224,255
81,89,65,230,220,192,154,174,121,87,143,173
165,140,179,137,123,193,234,231,250,217,161,160
38,62,103,0,128,246,141,145,141,255,206,117
187,214,207,118,191,154,247,233,44,240,158,41
230,99,84,217,199,178,147,185,184,253,166,73
254,225,221,244,136,185,204,8,138,162,33,63
82,58,40,228,212,200,225,180,142,115,139,25
179,193,168,227,204,222,43,84,52,46,64,7
68,68,64,195,171,192,240,193,176,233,147,128
0,118,0,0,21,12,255,69,0,192,231,246
151,12,16,102,99,64,172,180,160,255,233,192
75,78,48,56,185,224,246,197,16,251,228,64
244,187,132,248,60,49,255,219,21,249,233,233
167,155,96,117,130,80,250,230,208,248,211,176
234,239,242,255,61,51,234,239,242,0,224,212
202,43,75,254,253,254,255,163,132,0,0,0
77,179,228,184,60,112,244,230,131,253,166,73
0,4,0,104,104,82,188,155,130,146,63,57
0,4,1,121,95,87,216,185,167,238,239,241
38,146,208,161,216,224,71,216,224,24,72,160
255,101,1,26,26,29,199,215,222,13,105,139
248,239,214,214,104,121,232,236,243,225,237,218
212,199,175,201,158,128,199,167,113,160,109,92
243,240,176,212,187,221,189,151,203,101,106,96
50,180,128,72,101,144,187,175,224,14,93,64
110,195,193,51,81,32,157,204,95,13,95,138
251,212,140,255,243,236,255,238,213,248,117,149
247,227,180,217,243,231,0,158,146,67,112,129
237,223,208,47,136,144,78,24,96,23,196,189
178,219,245,105,177,245,0,0,255,15,17,20
255,219,21,200,77,96,255,238,213,202,214,231
76,34,61,112,58,75,211,177,194,231,230,225
241,236,228,213,168,78,30,87,134,248,238,166
200,167,95,46,100,103,246,180,155,224,225,219
188,236,246,247,245,246,255,39,104,255,134,145
84,83,101,224,226,233,189,240,214,49,136,151
150,170,167,108,63,63,231,148,170,238,214,211
36,38,40,239,51,64,255,189,32,46,134,224
225,93,64,237,213,192,150,126,48,183,188,176
243,185,223,234,133,199,16,168,61,23,51,5
75,0,0,31,108,102,231,230,227,0,0,0
25,46,65,5,38,59,13,101,157,187,200,222
38,91,139,236,236,235,132,199,242,11,28,72
245,58,208,35,202,192,247,205,208,249,248,240
39,34,32,125,63,32,209,154,48,243,204,60
245,246,240,198,205,193,68,64,63,99,161,95
94,95,82,250,225,193,251,251,244,244,149,134
244,239,219,0,255,240,164,229,224,219,245,240
38,91,139,236,236,235,132,199,242,17,129,200
16,86,79,4,112,118,219,235,237,255,255,255
243,50,43,31,34,49,1,222,230,255,228,51
247,202,192,85,183,160,237,197,144,136,232,208
0,180,212,216,94,0,202,222,89,159,43,0
4,47,89,243,22,30,37,175,194,202,218,227
77,92,96,131,163,160,138,158,160,106,149,160
124,244,124,93,144,181,242,5,199,252,42,236
167,220,240,38,133,240,19,40,128,101,172,240
200,244,249,144,187,194,47,121,119,32,85,96
167,194,215,191,42,46,247,231,206,86,56,45
9,63,45,96,147,128,1,93,83,1,3,0
110,26,16,171,156,128,40,47,48,236,182,0
216,177,160,133,75,80,242,241,240,187,138,80
16,49,100,218,240,243,114,178,201,191,220,229
253,205,0,229,217,192,192,52,80,79,55,80
85,88,48,213,175,16,190,99,16,188,49,16
42,56,63,219,99,111,232,211,195,186,178,167
237,36,97,245,192,207,213,32,87,102,115,105
144,95,208,45,22,116,0,117,62,137,157,232
242,184,208,191,102,144,233,234,224,133,163,192
224,234,233,229,198,181,5,38,59,40,73,88
246,212,210,177,159,249,65,32,169,161,169,254
53,74,24,249,235,243,0,163,133,0,73,58
223,153,22,60,61,48,138,166,160,81,126,100
239,240,241,108,172,207,0,74,148,193,219,240
64,34,32,8,18,43,249,239,238,83,0,29
105,114,114,199,200,203,239,239,230,171,171,175
82,58,40,164,117,81,225,113,136,118,132,106
251,234,213,255,188,222,73,187,193,133,114,145
8,46,144,65,134,224,255,193,214,147,255,240
255,163,3,162,171,206,247,98,1,255,224,174
176,227,255,247,201,182,251,246,226,61,147,171
203,205,203,118,150,173,13,135,122,107,114,103
89,49,31,219,243,225,247,201,182,143,168,151
143,67,112,241,239,227,227,217,224,166,165,128
222,179,173,186,195,191,217,133,148,178,64,64
136,191,203,19,52,76,7,19,48,54,122,145
240,232,209,255,69,0,253,243,68,17,31,41
169,184,201,200,166,164,92,78,78,190,77,98
44,213,226,194,224,239,107,202,226,14,99,194
94,97,98,148,117,111,189,240,214,249,247,243
124,157,160,201,216,208,33,135,176,58,197,208
64,64,45,242,219,180,160,193,150,244,149,134
98,101,32,61,145,224,149,43,96,241,182,32
41,0,10,100,69,64,217,173,154,232,225,228
209,231,245,98,165,200,214,37,152,246,232,219
207,111,71,196,200,171,137,115,76,222,170,107
152,183,214,238,190,53,107,126,164,149,178,232
140,82,73,240,215,209,227,182,169,33,182,168
60,132,240,160,106,180,212,187,221,130,185,233
88,171,229,246,195,36,255,127,173,169,254,216
255,69,181,72,176,204,180,248,200,251,95,95
244,237,227,127,229,240,117,168,223,102,115,137
240,216,184,196,117,102,243,240,233,230,183,148
245,241,242,234,133,199,60,195,188,247,204,176
141,186,170,123,204,177,53,188,173,232,233,227
93,100,96,200,181,160,167,98,112,241,240,242
180,154,135,86,56,45,19,25,25,240,231,228
169,219,239,120,160,220,57,147,117,19,91,50
34,38,42,254,218,21,25,52,45,191,208,218
248,207,44,216,214,219,205,201,191,89,106,125
39,47,64,134,174,148,227,199,224,186,229,192
97,89,89,208,180,159,164,117,81,50,58,73
213,210,211,227,149,148,154,177,154,254,196,134
250,203,208,85,238,208,237,120,144,58,43,48
245,212,171,254,100,12,73,159,164,79,63,31
251,146,128,249,84,80,122,0,61,64,13,16
113,49,98,53,240,208,255,11,172,255,221,100
82,58,40,164,117,81,208,219,220,50,76,101
199,174,165,240,229,235,73,159,164,220,105,115
92,129,92,223,246,241,255,101,1,217,178,149
5,20,34,91,174,217,25,87,121,175,219,245
237,224,207,255,39,104,212,74,69,21,55,73
226,217,202,111,41,55,227,188,154,224,44,98
46,118,94,223,206,204,113,74,54,216,87,64
210,196,170,164,92,50,91,134,150,67,93,132
29,172,144,226,104,144,145,104,160,185,196,192
255,121,186,242,94,34,184,199,251,247,218,66
13,53,48,33,98,96,158,191,192,220,223,224
25,46,65,21,27,37,82,104,143,187,200,222
228,233,236,193,176,166,135,95,89,28,8,3
215,227,229,46,77,88,61,154,189,0,120,157
252,212,96,205,230,240,247,234,223,228,139,144
102,79,76,237,144,40,248,207,44,210,212,221
23,51,5,16,168,61,243,185,223,234,133,199
102,103,98,61,86,34,128,138,120,202,154,151
44,62,64,128,159,176,232,191,118,241,164,56
178,210,164,26,67,20,44,94,26,50,205,48
224,137,85,0,72,164,72,61,60,104,154,184
154,228,241,54,214,231,237,201,57,45,120,99
29,84,80,36,134,128,130,228,208,222,230,224
217,107,117,255,203,164,139,167,181,22,57,67
208,227,255,214,43,131,251,192,14,115,141,55
118,47,121,76,34,61,233,216,225,135,119,62
2,33,38,110,222,82,161,106,232,214,227,84
0,10,20,146,158,175,216,226,240,167,194,229
253,186,178,76,20,59,218,116,111,254,196,134
145,143,121,185,193,118,254,232,134,133,75,91
218,177,128,245,115,2,128,70,32,247,231,176
239,182,152,56,23,65,197,152,175,232,107,23
203,174,17,193,193,199,254,218,21,247,247,248
218,205,202,230,183,148,99,79,64,147,95,76
51,51,67,135,169,172,197,152,175,199,39,136
246,226,227,255,228,0,204,8,138,0,175,142
171,102,110,254,153,93,225,0,50,86,4,35
106,144,108,28,69,8,198,220,171,28,69,8
85,74,53,225,0,50,255,195,99,28,69,8
74,114,16,218,243,240,198,216,48,56,191,240
74,65,56,247,247,249,176,203,176,204,178,143
204,215,172,82,88,77,209,198,166,235,203,189
245,220,208,247,233,64,247,98,167,46,41,80
149,54,56,245,240,221,28,81,108,253,166,73
41,78,160,88,228,224,247,102,160,126,216,224
152,76,32,71,42,16,233,178,16,205,118,48
246,201,180,243,185,223,234,133,199,106,216,251
173,196,215,224,156,139,233,218,203,244,237,225
196,127,102,174,139,112,251,243,236,63,65,70
168,153,145,43,47,53,83,94,75,19,50,73
19,41,42,235,190,166,46,100,103,93,202,209
165,169,176,251,96,144,106,137,160,179,195,208
49,33,16,217,215,208,151,12,16,182,130,48
0,41,82,158,211,248,80,143,247,232,179,56
118,131,107,245,232,218,105,94,147,239,241,239
232,227,221,253,129,45,124,243,160,138,207,240
201,110,134,245,243,231,199,215,192,104,83,65
103,130,13,57,77,12,216,224,34,243,249,121
165,177,88,166,181,214,238,228,241,234,239,244
226,210,167,209,172,109,109,84,62,238,240,225
251,202,167,99,49,255,255,216,241,67,108,182
42,89,101,239,204,210,253,242,237,166,96,65
130,145,26,219,222,205,247,94,117,208,10,18
0,35,65,229,0,39,189,157,120,94,139,176
146,69,155,231,201,245,185,168,240,45,64,229
248,163,86,34,105,184,200,244,249,255,242,197
195,157,153,218,226,231,151,208,232,61,149,193
238,213,144,34,54,86,240,140,74,67,217,192
237,223,180,238,218,217,204,226,205,254,225,194
27,42,55,125,161,191,237,208,80,200,199,185
254,196,134,157,169,147,227,149,148,213,210,211
215,211,193,243,243,243,129,177,79,223,225,106
232,244,220,159,169,117,94,120,69,43,59,67
251,245,238,58,147,176,109,190,195,12,26,84
251,245,238,58,147,176,109,190,195,12,26,84
79,169,187,159,36,36,248,207,44,21,21,21
251,167,151,222,30,43,225,81,175,249,223,60
222,229,234,137,169,197,250,235,217,141,110,86
158,144,95,255,235,225,255,194,199,255,75,155
76,52,47,233,150,122,60,120,130,211,218,205
80,0,108,219,144,112,30,179,224,57,220,240
3,47,12,234,155,122,208,180,159,242,225,207
40,45,29,137,157,96,89,79,32,52,70,16
116,97,48,61,66,48,228,173,192,251,217,224
116,220,247,251,187,185,252,219,104,5,165,189
21,60,100,190,213,235,0,112,224,5,92,180
236,243,251,35,66,74,59,112,125,87,165,184
126,144,144,151,12,16,226,226,208,78,182,176
217,226,247,13,49,78,208,83,1,154,163,184
242,185,137,254,242,231,249,191,178,82,111,115
47,47,27,231,225,224,50,74,96,232,171,22
20,108,128,34,170,192,195,179,48,210,49,48
193,236,253,253,244,147,174,77,175,107,202,226
4,0,1,196,138,117,178,111,86,224,198,183
253,170,116,246,81,86,93,62,86,31,13,11
182,126,64,248,212,82,170,212,192,225,93,64
13,101,157,12,65,96,115,143,167,195,206,218
239,44,128,233,223,160,50,192,176,249,144,176
76,119,79,41,96,102,144,95,208,197,210,239
224,227,211,176,125,38,188,10,15,0,151,138
78,81,48,220,188,160,213,82,80,231,122,128
170,190,192,225,194,240,232,232,229,99,52,124
211,127,64,148,192,208,236,203,192,250,197,144
92,3,140,115,55,138,218,63,89,229,103,154
244,149,134,240,228,206,226,197,168,161,201,215
235,248,251,198,228,239,37,106,135,106,172,195
138,195,194,205,209,184,199,160,188,235,239,238
138,66,122,140,188,182,225,207,231,44,109,13
142,92,7,133,189,170,3,171,153,255,200,0
110,124,130,228,177,150,115,196,202,206,247,250
207,129,80,253,219,216,155,89,64,251,220,192
144,0,0,0,0,0,255,101,1,241,180,22
255,255,255,180,115,36,250,208,44,44,34,23
148,104,80,24,17,0,224,217,201,89,100,104
221,175,146,0,126,152,255,11,172,224,219,82
193,200,209,139,195,236,206,0,0,4,21,59
216,52,113,6,150,176,241,175,192,255,218,119
100,154,188,13,101,157,255,156,137,246,172,108
211,134,96,169,85,48,234,185,176,230,129,128
106,128,35,101,80,16,223,154,16,178,220,240
243,218,192,81,93,96,250,122,80,138,158,161
96,41,50,189,240,214,248,154,159,136,168,207
49,73,81,246,240,231,231,214,204,165,187,202
129,142,123,228,202,96,210,133,64,133,75,80
72,81,75,225,130,34,240,165,41,29,78,8
16,33,40,32,165,180,188,148,118,224,207,167
151,92,116,112,45,79,240,214,212,149,5,227
248,148,208,194,255,144,241,46,144,52,42,64
45,37,100,168,15,250,204,184,215,236,230,219
25,86,154,215,213,211,139,169,191,92,162,208
145,165,161,129,171,188,230,180,81,94,110,84
201,177,166,64,88,99,206,218,218,69,59,50
195,131,181,45,19,36,200,188,195,169,29,146
4,59,56,175,240,242,48,217,200,28,155,142
31,12,12,188,126,123,222,179,173,167,22,28
79,125,125,199,19,81,252,197,199,253,210,83
98,123,118,136,7,11,207,143,112,246,214,114
0,27,44,0,74,148,67,195,221,217,237,248
44,62,91,91,137,174,124,64,102,211,188,150
253,210,119,188,148,118,239,183,184,187,214,235
142,175,209,88,118,48,230,235,240,3,32,48
188,168,142,227,232,233,154,177,154,228,180,180
255,223,228,241,235,233,152,134,134,189,124,95
45,86,80,232,231,224,112,207,208,39,171,160
56,73,16,156,144,136,231,177,144,232,171,22
56,56,56,210,221,219,254,218,21,255,255,255
239,236,218,70,140,202,162,206,234,28,108,174
76,101,133,176,191,194,204,180,169,114,84,70
106,144,108,28,69,8,149,168,0,28,69,8
62,57,26,16,188,16,152,197,16,216,240,19
80,101,96,232,235,222,89,181,183,200,244,249
243,207,128,247,60,167,37,192,192,14,12,0
10,15,19,166,4,139,56,49,183,180,82,228
247,216,224,138,66,122,134,138,150,72,78,88
243,207,128,247,60,167,37,192,192,14,12,0
206,247,250,255,224,176,79,200,209,78,83,93
120,125,18,72,156,23,38,34,7,220,238,200
135,23,70,203,154,159,73,92,124,58,58,63
222,186,214,248,116,214,215,186,254,180,110,64
217,228,232,4,10,24,199,153,137,133,130,111
44,43,39,187,38,132,125,109,173,228,226,234
247,161,110,239,200,181,232,236,237,214,247,248
73,55,67,241,161,126,163,122,104,220,210,198
16,58,0,206,60,16,200,182,64,19,86,0
138,158,160,254,254,240,3,5,0,161,210,208
241,218,173,234,193,53,129,72,39,8,13,16
4,22,4,166,232,187,5,166,58,161,247,161
242,187,102,211,177,194,209,133,221,168,26,152
235,203,189,209,198,166,74,85,74,204,215,172
232,229,216,250,179,51,167,168,138,224,193,174
143,145,107,0,83,45,2,132,118,217,206,136
103,120,128,41,36,0,239,51,64,235,236,224
194,170,202,193,194,173,141,199,203,226,230,231
68,73,101,248,205,79,232,235,240,248,57,64
98,59,65,255,111,97,253,213,94,243,228,226
229,214,208,213,94,132,204,227,158,169,84,96
112,145,173,239,157,127,244,211,199,231,233,239
232,236,206,122,145,122,152,106,168,94,55,109
166,224,195,231,132,219,119,160,231,56,68,107
128,125,136,136,95,102,195,213,214,240,225,222
237,69,64,251,189,160,252,212,160,251,118,96
5,56,58,164,117,81,150,42,81,150,163,158
150,168,96,76,96,55,189,142,64,180,93,42
121,141,160,112,196,192,38,77,96,12,34,64
235,241,239,43,125,107,225,61,0,195,248,223
61,46,43,247,201,182,197,215,224,142,113,97
144,106,80,229,180,128,77,221,224,173,235,240
26,43,80,52,97,144,214,193,160,117,152,160
19,1,112,205,244,220,4,211,188,205,0,70
74,137,128,246,195,36,252,207,189,197,16,79
2,8,33,196,79,119,44,57,85,104,154,183
217,226,247,13,49,78,204,82,22,154,163,184
117,72,96,255,255,255,255,150,54,0,148,194
0,34,33,182,190,82,82,152,188,46,59,81
0,34,33,182,190,82,82,152,188,46,59,81
15,81,144,106,150,176,244,199,122,216,162,112
245,206,188,232,161,101,250,235,217,33,36,32
20,21,20,232,230,225,238,251,243,72,88,15
224,199,233,215,74,118,169,152,238,228,227,224
234,227,185,41,37,13,95,91,80,250,209,48
228,218,112,241,242,224,63,190,176,61,0,112
95,216,222,247,201,182,237,216,101,140,236,224
155,181,80,246,242,240,145,104,160,236,192,48
98,21,144,221,50,144,251,181,80,241,227,208
255,248,221,223,152,65,154,177,154,106,70,58
0,0,12,0,24,58,73,138,245,0,0,255
254,223,224,53,60,64,109,211,208,237,215,192
131,56,48,240,100,144,231,135,144,249,232,224
9,10,14,118,5,4,225,61,0,251,220,106
218,110,48,190,130,160,245,197,192,255,216,112
226,232,239,3,171,153,127,160,145,1,65,58
190,209,188,78,74,92,167,108,86,228,212,200
199,216,231,18,46,118,115,145,200,21,27,37
25,46,65,1,3,7,7,19,48,187,200,222
14,19,32,221,203,176,14,214,208,11,177,192
179,215,176,156,65,80,228,84,128,248,178,176
28,103,9,233,218,239,204,8,138,174,232,4
59,171,90,226,184,8,204,82,22,145,12,0
0,165,102,255,244,240,59,115,155,255,130,112
246,198,138,199,232,218,242,230,224,240,156,162
95,111,80,212,203,192,239,210,176,133,75,91
200,244,249,78,139,157,233,181,160,44,44,34
197,152,175,159,171,224,126,136,160,7,11,8
122,0,61,238,109,80,246,62,80,240,213,192
135,74,91,5,6,6,227,205,188,236,241,235
1,65,58,202,150,57,222,220,228,1,38,34
172,32,61,1,239,232,82,104,143,255,255,255
255,252,198,101,70,62,142,60,38,252,201,49
216,214,192,133,75,91,201,169,112,42,73,80
250,220,220,229,190,160,116,57,48,153,99,80
57,19,6,241,206,212,109,0,0,249,204,211
255,136,130,250,233,226,77,0,17,3,37,34
41,29,41,207,193,206,233,163,58,227,90,1
142,178,192,243,246,240,53,83,96,138,100,96
57,19,6,241,206,212,109,0,0,249,204,211
142,178,192,243,246,240,53,83,96,138,100,96
78,100,82,106,165,159,168,176,130,255,134,22
226,218,212,180,139,120,116,88,77,41,0,10
60,28,91,248,144,112,246,245,240,225,194,240
79,104,127,215,207,205,56,58,61,253,202,144
37,83,85,123,88,61,35,48,64,234,23,54
65,55,64,201,114,83,143,172,167,233,218,196
182,55,251,160,124,51,204,161,243,233,213,250
137,163,213,221,225,237,107,126,164,177,186,207
238,199,179,195,199,223,49,34,30,68,44,98
231,159,135,209,65,83,78,215,216,53,64,80
178,90,148,66,2,100,134,67,105,113,157,180
248,190,80,94,8,0,80,112,96,243,234,208
53,74,24,249,235,243,78,195,61,44,119,33
243,205,116,93,202,209,28,33,67,113,248,255
10,22,64,201,207,208,0,255,240,25,134,160
169,98,144,233,216,225,224,129,188,76,100,10
93,69,48,244,193,90,209,49,32,95,19,0
219,210,130,175,181,140,214,234,235,235,240,229
39,109,155,177,212,228,40,48,73,218,229,237
3,0,0,31,32,36,52,60,59,164,168,171
112,79,112,70,158,160,250,201,192,54,66,64
59,71,84,165,169,179,116,17,47,0,0,0
242,243,247,177,4,80,229,193,1,222,231,74
101,93,85,253,247,240,93,97,102,226,203,190
211,177,194,202,92,241,44,35,28,228,14,25
110,90,91,191,174,190,107,14,41,15,0,0
143,160,168,228,177,150,115,196,202,206,247,250
234,133,199,204,252,253,247,197,172,193,173,174
130,164,227,195,215,249,21,27,37,34,85,220
252,199,97,236,124,170,255,11,172,232,224,211
97,194,162,182,226,211,189,191,163,9,34,78
122,81,70,237,154,96,241,195,160,250,220,220
80,56,40,151,160,132,230,236,214,254,244,215
76,119,79,41,96,102,169,152,238,197,210,239
64,41,120,39,83,22,96,47,247,96,63,139
25,25,34,82,58,40,192,109,31,201,211,203
240,88,174,70,172,55,20,154,239,61,190,217
129,72,39,234,145,48,228,228,226,208,180,159
25,25,34,82,58,40,192,109,31,201,211,203
231,207,171,23,0,129,253,93,180,5,249,222
35,54,25,165,184,128,57,48,16,128,155,32
162,188,6,154,161,23,52,82,4,216,224,34
103,107,64,225,219,208,199,154,144,79,55,80
184,85,66,230,231,224,115,153,176,133,155,128
78,72,56,3,24,18,10,75,57,123,159,159
59,76,100,210,168,126,129,72,39,2,19,11
0,116,73,64,163,50,42,35,56,201,218,188
49,24,21,82,88,77,179,193,168,113,16,21
255,210,95,238,229,230,220,119,38,130,67,47
91,49,46,156,97,213,255,205,35,255,39,104
230,183,148,184,221,214,224,235,229,184,132,85
83,128,168,180,117,110,238,230,217,42,56,63
54,57,48,171,160,144,182,127,80,17,68,80
252,222,195,230,233,230,32,138,183,90,203,237
91,112,59,225,59,35,255,222,104,255,158,79
251,40,96,255,249,128,138,158,160,68,73,112
245,228,216,218,221,213,212,252,232,153,122,106
24,158,169,243,22,30,126,169,86,226,230,217
193,221,240,22,121,203,0,0,102,0,0,10
126,113,113,212,199,175,64,53,34,199,163,130
205,219,98,7,6,13,233,237,239,250,182,199
53,31,16,183,148,96,239,120,137,245,211,192
0,0,0,58,73,104,244,71,56,0,135,202
201,217,240,137,123,193,254,196,55,254,91,214
252,208,85,112,99,105,173,26,60,244,214,213
82,58,40,129,186,223,184,203,200,40,65,93
29,78,77,0,153,162,84,188,206,241,248,240
210,224,221,99,17,4,87,165,184,253,181,96
183,201,195,164,117,81,208,180,159,133,123,121
50,52,50,120,112,105,152,164,176,171,166,170
232,197,171,0,0,0,233,221,212,109,0,0
247,202,201,104,149,176,235,138,112,233,212,176
240,197,192,82,224,200,250,237,224,255,104,81
243,206,213,244,0,150,65,32,169,0,147,58
211,237,240,86,192,240,9,193,208,28,166,160
100,30,94,29,31,14,197,95,252,118,4,180
4,0,0,147,144,129,228,228,205,209,191,166
36,45,24,11,22,38,250,208,44,133,46,27
4,0,0,147,144,129,228,228,205,209,191,166
