r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,Skintone,Season
45,86,80,232,231,224,112,207,208,39,171,160,white,summer
56,73,16,156,144,136,231,177,144,232,171,22,white,summer
56,56,56,210,221,219,254,218,21,255,255,255,white,summer
239,236,218,70,140,202,162,206,234,28,108,174,white,spring
76,101,133,176,191,194,204,180,169,114,84,70,white,spring
106,144,108,28,69,8,149,168,0,28,69,8,white,summer
62,57,26,16,188,16,152,197,16,216,240,19,white,spring
80,101,96,232,235,222,89,181,183,200,244,249,white,summer
243,207,128,247,60,167,37,192,192,14,12,0,white,summer
10,15,19,166,4,139,56,49,183,180,82,228,white,summer
247,216,224,138,66,122,134,138,150,72,78,88,white,spring
243,207,128,247,60,167,37,192,192,14,12,0,white,summer
206,247,250,255,224,176,79,200,209,78,83,93,white,spring
120,125,18,72,156,23,38,34,7,220,238,200,white,summer
135,23,70,203,154,159,73,92,124,58,58,63,white,spring
222,186,214,248,116,214,215,186,254,180,110,64,white,spring
217,228,232,4,10,24,199,153,137,133,130,111,white,summer
44,43,39,187,38,132,125,109,173,228,226,234,white,summer
247,161,110,239,200,181,232,236,237,214,247,248,white,spring
73,55,67,241,161,126,163,122,104,220,210,198,white,summer
16,58,0,206,60,16,200,182,64,19,86,0,white,winter
138,158,160,254,254,240,3,5,0,161,210,208,white,summer
241,218,173,234,193,53,129,72,39,8,13,16,white,summer
4,22,4,166,232,187,5,166,58,161,247,161,white,summer
242,187,102,211,177,194,209,133,221,168,26,152,white,spring
235,203,189,209,198,166,74,85,74,204,215,172,white,spring
232,229,216,250,179,51,167,168,138,224,193,174,white,spring
143,145,107,0,83,45,2,132,118,217,206,136,white,summer
103,120,128,41,36,0,239,51,64,235,236,224,white,summer
194,170,202,193,194,173,141,199,203,226,230,231,white,spring
68,73,101,248,205,79,232,235,240,248,57,64,white,summer
98,59,65,255,111,97,253,213,94,243,228,226,white,summer
229,214,208,213,94,132,204,227,158,169,84,96,white,spring
112,145,173,239,157,127,244,211,199,231,233,239,white,summer
232,236,206,122,145,122,152,106,168,94,55,109,white,spring
166,224,195,231,132,219,119,160,231,56,68,107,white,spring
128,125,136,136,95,102,195,213,214,240,225,222,white,summer
237,69,64,251,189,160,252,212,160,251,118,96,white,spring
5,56,58,164,117,81,150,42,81,150,163,158,white,summer
150,168,96,76,96,55,189,142,64,180,93,42,white,spring
121,141,160,112,196,192,38,77,96,12,34,64,white,spring
235,241,239,43,125,107,225,61,0,195,248,223,white,summer
61,46,43,247,201,182,197,215,224,142,113,97,white,summer
144,106,80,229,180,128,77,221,224,173,235,240,white,summer
26,43,80,52,97,144,214,193,160,117,152,160,white,summer
19,1,112,205,244,220,4,211,188,205,0,70,white,summer
74,137,128,246,195,36,252,207,189,197,16,79,white,spring
2,8,33,196,79,119,44,57,85,104,154,183,white,summer
217,226,247,13,49,78,204,82,22,154,163,184,white,summer
117,72,96,255,255,255,255,150,54,0,148,194,white,spring
0,34,33,182,190,82,82,152,188,46,59,81,white,summer
0,34,33,182,190,82,82,152,188,46,59,81,white,summer
15,81,144,106,150,176,244,199,122,216,162,112,white,summer
245,206,188,232,161,101,250,235,217,33,36,32,white,spring
20,21,20,232,230,225,238,251,243,72,88,15,white,summer
224,199,233,215,74,118,169,152,238,228,227,224,white,spring
234,227,185,41,37,13,95,91,80,250,209,48,white,summer
228,218,112,241,242,224,63,190,176,61,0,112,white,spring
95,216,222,247,201,182,237,216,101,140,236,224,white,spring
155,181,80,246,242,240,145,104,160,236,192,48,white,summer
98,21,144,221,50,144,251,181,80,241,227,208,white,summer
255,248,221,223,152,65,154,177,154,106,70,58,white,summer
0,0,12,0,24,58,73,138,245,0,0,255,white,summer
254,223,224,53,60,64,109,211,208,237,215,192,white,summer
131,56,48,240,100,144,231,135,144,249,232,224,white,summer
9,10,14,118,5,4,225,61,0,251,220,106,white,summer
218,110,48,190,130,160,245,197,192,255,216,112,white,summer
226,232,239,3,171,153,127,160,145,1,65,58,white,summer
190,209,188,78,74,92,167,108,86,228,212,200,white,summer
199,216,231,18,46,118,115,145,200,21,27,37,white,summer
25,46,65,1,3,7,7,19,48,187,200,222,white,summer
14,19,32,221,203,176,14,214,208,11,177,192,white,summer
179,215,176,156,65,80,228,84,128,248,178,176,white,spring
28,103,9,233,218,239,204,8,138,174,232,4,white,summer
59,171,90,226,184,8,204,82,22,145,12,0,white,summer
0,165,102,255,244,240,59,115,155,255,130,112,white,summer
246,198,138,199,232,218,242,230,224,240,156,162,white,spring
95,111,80,212,203,192,239,210,176,133,75,91,white,spring
200,244,249,78,139,157,233,181,160,44,44,34,white,summer
197,152,175,159,171,224,126,136,160,7,11,8,white,spring
122,0,61,238,109,80,246,62,80,240,213,192,white,summer
135,74,91,5,6,6,227,205,188,236,241,235,white,summer
1,65,58,202,150,57,222,220,228,1,38,34,white,summer
172,32,61,1,239,232,82,104,143,255,255,255,white,summer
255,252,198,101,70,62,142,60,38,252,201,49,white,summer
216,214,192,133,75,91,201,169,112,42,73,80,white,summer
250,220,220,229,190,160,116,57,48,153,99,80,white,spring
57,19,6,241,206,212,109,0,0,249,204,211,white,summer
255,136,130,250,233,226,77,0,17,3,37,34,white,spring
41,29,41,207,193,206,233,163,58,227,90,1,white,summer
142,178,192,243,246,240,53,83,96,138,100,96,white,spring
57,19,6,241,206,212,109,0,0,249,204,211,white,summer
142,178,192,243,246,240,53,83,96,138,100,96,white,spring
78,100,82,106,165,159,168,176,130,255,134,22,white,summer
226,218,212,180,139,120,116,88,77,41,0,10,white,spring
60,28,91,248,144,112,246,245,240,225,194,240,white,summer
79,104,127,215,207,205,56,58,61,253,202,144,white,summer
37,83,85,123,88,61,35,48,64,234,23,54,white,spring
65,55,64,201,114,83,143,172,167,233,218,196,white,summer
182,55,251,160,124,51,204,161,243,233,213,250,white,spring
137,163,213,221,225,237,107,126,164,177,186,207,white,spring
238,199,179,195,199,223,49,34,30,68,44,98,white,spring
231,159,135,209,65,83,78,215,216,53,64,80,white,spring
178,90,148,66,2,100,134,67,105,113,157,180,white,summer
248,190,80,94,8,0,80,112,96,243,234,208,white,summer
53,74,24,249,235,243,78,195,61,44,119,33,white,summer
243,205,116,93,202,209,28,33,67,113,248,255,white,summer
10,22,64,201,207,208,0,255,240,25,134,160,white,summer
169,98,144,233,216,225,224,129,188,76,100,10,white,spring
93,69,48,244,193,90,209,49,32,95,19,0,white,spring
219,210,130,175,181,140,214,234,235,235,240,229,white,summer
39,109,155,177,212,228,40,48,73,218,229,237,white,summer
3,0,0,31,32,36,52,60,59,164,168,171,white,summer
112,79,112,70,158,160,250,201,192,54,66,64,white,spring
59,71,84,165,169,179,116,17,47,0,0,0,white,spring
242,243,247,177,4,80,229,193,1,222,231,74,white,summer
101,93,85,253,247,240,93,97,102,226,203,190,white,summer
211,177,194,202,92,241,44,35,28,228,14,25,white,spring
110,90,91,191,174,190,107,14,41,15,0,0,white,spring
143,160,168,228,177,150,115,196,202,206,247,250,white,summer
234,133,199,204,252,253,247,197,172,193,173,174,white,spring
130,164,227,195,215,249,21,27,37,34,85,220,white,spring
252,199,97,236,124,170,255,11,172,232,224,211,white,spring
97,194,162,182,226,211,189,191,163,9,34,78,white,spring
122,81,70,237,154,96,241,195,160,250,220,220,white,summer
80,56,40,151,160,132,230,236,214,254,244,215,white,summer
76,119,79,41,96,102,169,152,238,197,210,239,white,summer
64,41,120,39,83,22,96,47,247,96,63,139,white,summer
25,25,34,82,58,40,192,109,31,201,211,203,white,summer
240,88,174,70,172,55,20,154,239,61,190,217,white,summer
129,72,39,234,145,48,228,228,226,208,180,159,white,summer
25,25,34,82,58,40,192,109,31,201,211,203,white,summer
231,207,171,23,0,129,253,93,180,5,249,222,white,summer
35,54,25,165,184,128,57,48,16,128,155,32,white,summer
162,188,6,154,161,23,52,82,4,216,224,34,white,winter
103,107,64,225,219,208,199,154,144,79,55,80,white,spring
184,85,66,230,231,224,115,153,176,133,155,128,white,spring
78,72,56,3,24,18,10,75,57,123,159,159,white,summer
59,76,100,210,168,126,129,72,39,2,19,11,white,spring
0,116,73,64,163,50,42,35,56,201,218,188,white,summer
49,24,21,82,88,77,179,193,168,113,16,21,white,summer
255,210,95,238,229,230,220,119,38,130,67,47,white,spring
91,49,46,156,97,213,255,205,35,255,39,104,white,summer
230,183,148,184,221,214,224,235,229,184,132,85,white,spring
83,128,168,180,117,110,238,230,217,42,56,63,white,spring
54,57,48,171,160,144,182,127,80,17,68,80,white,spring
252,222,195,230,233,230,32,138,183,90,203,237,white,spring
91,112,59,225,59,35,255,222,104,255,158,79,white,winter
251,40,96,255,249,128,138,158,160,68,73,112,white,spring
245,228,216,218,221,213,212,252,232,153,122,106,white,spring
24,158,169,243,22,30,126,169,86,226,230,217,white,summer
193,221,240,22,121,203,0,0,102,0,0,10,white,summer
126,113,113,212,199,175,64,53,34,199,163,130,white,summer
205,219,98,7,6,13,233,237,239,250,182,199,white,summer
53,31,16,183,148,96,239,120,137,245,211,192,white,summer
0,0,0,58,73,104,244,71,56,0,135,202,white,summer
201,217,240,137,123,193,254,196,55,254,91,214,white,spring
252,208,85,112,99,105,173,26,60,244,214,213,white,summer
82,58,40,129,186,223,184,203,200,40,65,93,white,summer
29,78,77,0,153,162,84,188,206,241,248,240,white,summer
210,224,221,99,17,4,87,165,184,253,181,96,white,summer
183,201,195,164,117,81,208,180,159,133,123,121,white,spring
50,52,50,120,112,105,152,164,176,171,166,170,white,summer
232,197,171,0,0,0,233,221,212,109,0,0,white,summer
247,202,201,104,149,176,235,138,112,233,212,176,white,spring
240,197,192,82,224,200,250,237,224,255,104,81,white,spring
243,206,213,244,0,150,65,32,169,0,147,58,white,summer
211,237,240,86,192,240,9,193,208,28,166,160,white,spring
100,30,94,29,31,14,197,95,252,118,4,180,white,summer
4,0,0,147,144,129,228,228,205,209,191,166,white,summer
36,45,24,11,22,38,250,208,44,133,46,27,white,spring
4,0,0,147,144,129,228,228,205,209,191,166,white,summer
227,120,147,181,238,203,251,251,235,195,143,107,white,spring
136,191,203,19,52,76,13,101,157,54,122,145,white,summer
163,157,147,219,213,204,100,103,99,175,180,189,white,spring
150,79,45,250,219,208,191,220,128,249,241,64,white,summer
6,23,72,203,63,50,245,107,57,234,174,136,white,summer
250,219,215,210,156,187,73,103,217,94,55,109,white,spring
82,84,16,251,243,224,183,185,64,196,167,110,white,summer
252,216,162,244,230,213,225,0,50,251,176,0,white,summer
217,175,194,148,201,115,192,177,181,70,96,51,white,spring
84,61,55,202,105,2,208,205,172,114,164,168,white,summer
4,10,24,236,243,251,5,38,59,67,117,138,white,summer
109,19,12,163,157,146,229,218,210,115,149,91,white,summer
137,124,112,255,187,64,255,250,240,138,158,160,white,summer
95,175,190,123,88,61,248,216,204,180,198,198,white,summer
255,254,239,33,34,35,118,91,65,219,218,197,white,summer
124,243,160,248,50,18,161,195,206,27,97,131,white,summer
24,19,16,6,6,68,114,120,128,206,178,144,white,summer
68,81,96,73,138,176,222,225,224,133,75,91,white,summer
180,237,192,213,215,192,231,246,176,198,39,77,white,spring
44,43,39,187,38,132,36,24,52,228,226,234,white,summer
255,136,130,84,56,85,188,126,123,255,224,174,white,summer
224,205,78,94,183,202,170,220,230,225,229,231,white,summer
217,133,160,221,173,176,194,38,96,251,90,192,white,spring
202,238,224,152,232,224,57,211,224,66,98,80,white,spring
189,199,180,232,190,124,254,248,230,182,196,205,white,spring
15,68,84,202,181,167,5,38,59,252,248,245,white,summer
43,50,112,84,41,218,238,90,177,196,225,226,white,summer
225,81,175,184,234,249,237,183,95,62,180,175,white,spring
9,22,16,109,157,96,138,158,160,199,204,192,white,summer
114,84,70,204,169,144,190,126,84,115,108,79,white,spring
217,188,188,180,95,75,3,3,3,235,236,237,white,summer
226,193,222,237,241,244,23,179,217,252,138,16,white,summer
53,108,114,238,58,95,0,195,211,220,222,217,white,summer
28,38,35,12,185,222,212,241,244,117,230,218,white,summer
33,50,72,132,113,113,215,170,139,48,131,122,white,summer
1,156,149,253,13,46,68,79,68,49,237,49,white,summer
180,189,174,4,51,60,203,234,62,0,92,184,white,summer
65,69,80,255,243,217,205,158,125,209,226,196,white,summer
67,88,97,146,136,128,229,222,216,184,132,112,white,summer
1,156,149,253,13,46,68,79,68,49,237,49,white,summer
180,189,174,4,51,60,203,234,62,0,92,184,white,summer
226,234,233,123,158,147,69,176,140,46,118,94,white,spring
110,146,119,224,230,233,160,190,197,67,88,97,white,spring
250,191,112,36,31,64,243,207,176,197,123,112,white,summer
198,136,121,88,24,0,254,251,195,49,52,51,white,summer
193,199,198,108,106,97,255,246,229,17,19,23,white,summer
194,169,152,163,157,146,41,41,42,255,255,255,white,summer
92,105,96,239,238,224,138,158,161,32,33,32,white,spring
209,226,196,40,55,69,193,177,137,75,74,72,white,summer
46,116,160,100,175,208,4,4,48,9,80,154,white,summer
83,89,110,195,131,181,209,213,182,92,59,117,white,spring
109,84,64,0,2,16,134,42,48,224,143,37,white,summer
41,59,13,246,230,241,3,166,90,1,98,54,white,summer
67,66,64,137,133,176,92,36,122,224,210,192,white,summer
246,248,242,250,238,239,195,116,85,252,192,197,white,spring
255,215,116,251,192,14,129,234,255,41,179,255,white,summer
237,234,215,222,144,141,143,145,107,115,81,65,white,spring
136,7,11,246,81,86,93,93,43,244,198,11,white,summer
45,22,116,171,114,159,120,0,162,72,113,232,white,summer
195,214,219,232,219,203,43,100,136,7,19,48,white,spring
126,225,239,181,238,203,226,227,222,219,137,147,white,spring
219,55,129,255,108,200,137,251,243,59,48,43,white,spring
21,34,122,10,30,73,197,187,167,9,15,34,white,summer
87,0,28,179,215,185,219,32,88,247,187,150,white,summer
3,3,3,123,154,160,77,100,112,163,186,192,white,summer
106,140,184,0,31,61,180,201,225,137,172,209,white,summer
78,26,61,207,238,209,255,0,57,5,224,233,white,summer
174,184,196,33,67,88,7,19,48,156,166,184,white,summer
91,93,82,199,196,177,0,175,188,246,240,231,white,summer
224,222,208,42,120,144,121,192,208,114,236,224,white,summer
209,194,194,204,82,22,249,148,59,92,6,1,white,spring
63,68,64,231,160,84,255,108,51,233,218,196,white,summer
255,222,139,254,254,255,255,95,124,87,222,160,white,spring
35,36,37,223,210,206,177,118,124,212,217,221,white,summer
238,201,156,49,111,55,180,185,188,1,58,32,white,summer
189,110,80,246,214,176,246,208,208,251,242,240,white,summer
255,249,245,255,131,0,223,54,45,183,172,68,white,summer
205,65,99,161,247,161,10,209,187,231,230,225,white,summer
205,136,140,100,0,23,89,75,68,30,85,21,white,summer
47,58,71,129,75,149,187,137,214,208,162,127,white,summer
255,215,128,62,84,96,237,241,233,151,12,16,white,spring
255,249,245,255,131,0,223,54,45,183,172,68,white,summer
205,65,99,161,247,161,10,209,187,231,230,225,white,summer
21,16,115,228,152,48,248,0,0,254,254,254,white,summer
230,200,160,251,148,116,169,138,176,108,194,138,white,spring
216,90,96,57,71,48,200,231,224,248,251,245,white,summer
17,104,142,20,207,203,203,133,124,249,146,138,white,summer
11,11,16,48,51,64,196,195,176,96,98,96,white,summer
11,124,144,64,99,80,229,67,48,248,234,140,white,summer
54,69,79,140,166,181,203,189,174,176,97,83,white,summer
66,95,6,3,82,160,236,240,237,239,51,64,white,summer
113,166,187,190,219,228,137,190,208,16,86,79,white,spring
216,185,164,129,75,149,243,151,195,254,250,241,white,summer
195,162,120,175,181,140,197,196,190,239,239,231,white,summer
80,0,108,49,34,30,195,199,223,238,199,179,white,summer
1,98,54,126,125,115,252,249,250,2,7,6,white,summer
219,199,166,61,73,87,236,236,236,40,46,58,white,summer
101,70,62,240,200,142,209,55,4,251,158,9,white,summer
11,28,72,230,105,18,158,58,20,2,132,118,white,summer
32,38,42,191,195,162,153,89,67,255,254,244,white,summer
20,24,26,205,220,227,49,153,5,10,75,57,white,summer
146,36,50,242,108,103,253,202,163,137,207,240,white,summer
31,38,46,46,71,105,76,124,113,225,91,24,white,summer
89,68,34,244,237,235,39,68,89,177,135,67,white,summer
1,28,45,245,247,244,213,186,144,180,44,81,white,summer
59,68,71,220,119,38,192,149,94,110,101,51,white,winter
117,31,39,66,68,120,0,136,210,250,147,53,white,summer
78,69,65,240,94,116,79,99,86,245,186,67,white,summer
153,202,199,6,115,193,138,66,122,109,20,144,white,spring
123,104,103,252,254,241,0,93,158,255,69,0,white,summer
96,208,190,243,197,152,140,237,218,242,216,205,white,summer
196,157,95,151,12,16,250,249,240,162,183,160,white,summer
16,33,39,248,192,67,126,102,127,159,43,0,white,summer
147,135,110,247,98,1,184,221,214,240,238,226,white,summer
19,63,80,65,165,192,252,254,251,216,90,96,white,summer
65,95,107,27,44,76,214,240,205,99,43,36,white,summer
49,53,46,82,88,77,239,235,233,157,169,147,white,summer
154,177,154,239,235,233,82,88,77,47,54,47,white,spring
105,94,147,49,34,30,195,199,223,238,199,179,white,summer
10,53,4,216,224,34,214,232,188,114,181,153,white,spring
26,51,21,9,58,77,200,218,233,28,69,8,white,summer
105,94,147,49,34,30,195,199,223,238,199,179,white,summer
205,171,122,64,34,32,205,146,74,132,87,69,white,spring
218,130,96,244,185,184,220,167,128,233,230,224,white,spring
208,216,208,255,215,0,147,178,192,223,195,144,white,summer
241,158,54,183,80,24,114,118,128,4,0,1,white,summer
235,246,209,255,97,201,215,207,251,29,89,57,white,spring
239,235,196,243,193,100,250,188,19,243,22,30,white,spring
247,245,246,52,68,67,214,206,192,41,41,42,white,summer
44,67,16,146,150,48,230,186,208,253,219,216,white,summer
96,100,98,237,240,238,27,70,59,44,119,33,white,summer
165,167,207,250,250,252,45,22,116,90,88,162,white,spring
229,229,227,243,195,213,239,218,164,168,193,152,white,spring
68,221,241,245,205,106,235,143,72,58,32,68,white,summer
216,200,0,65,32,169,10,10,10,219,223,135,white,summer
197,184,176,227,167,74,147,233,190,46,170,179,white,spring
200,122,52,49,51,7,151,115,66,179,80,37,white,summer
64,62,48,224,229,224,99,124,128,133,75,91,white,spring
110,49,16,234,204,160,201,148,96,246,169,112,white,summer
86,38,16,219,110,48,245,198,192,251,157,64,white,summer
184,4,84,29,25,10,158,142,222,220,188,208,white,summer
55,75,96,84,121,128,215,173,96,154,72,48,white,summer
241,220,217,255,203,164,1,1,1,242,181,171,white,summer
189,151,203,160,106,180,252,198,46,155,169,193,white,spring
225,198,134,152,134,134,224,168,165,225,208,213,white,spring
58,42,32,183,154,128,238,200,208,248,127,160,white,summer
114,150,99,255,193,113,23,38,43,159,43,0,white,summer
82,58,40,135,150,134,222,93,104,236,236,236,white,summer
238,199,179,36,92,49,120,0,162,255,51,186,white,spring
98,70,67,111,116,60,193,203,104,40,41,21,white,summer
28,29,64,162,195,192,200,180,208,214,212,192,white,summer
215,172,179,224,218,183,158,193,182,6,12,13,white,spring
199,245,255,174,180,99,127,229,240,45,58,62,white,summer
249,255,238,208,17,16,109,159,160,227,195,64,white,summer
51,38,35,221,183,142,255,201,205,180,248,200,white,summer
201,122,128,231,175,150,225,81,175,235,226,222,white,spring
111,79,72,246,237,224,145,104,160,253,137,71,white,spring
188,219,218,88,186,211,129,72,39,237,190,110,white,spring
37,74,118,231,231,230,128,187,235,137,163,213,white,summer
194,150,117,249,239,214,200,217,191,83,89,87,white,spring
246,172,108,255,156,137,27,68,176,100,154,188,white,summer
147,147,146,119,119,116,81,73,66,223,222,217,white,summer
66,2,100,170,123,147,95,63,78,245,236,224,white,summer
219,199,166,61,73,87,157,208,218,174,146,211,white,summer
206,134,14,228,212,86,43,45,104,118,4,180,white,spring
151,12,16,214,208,192,185,198,4,49,51,25,white,summer
115,139,136,230,203,153,193,194,173,3,24,46,white,spring
91,90,91,214,206,192,211,220,224,253,244,227,white,summer
41,29,20,132,98,100,165,194,198,209,183,191,white,summer
28,69,8,87,142,135,247,226,199,151,170,0,white,summer
223,76,138,226,231,174,180,248,200,158,210,209,white,spring
89,65,64,237,236,222,196,212,222,181,96,92,white,spring
53,56,47,73,159,164,244,245,247,63,119,157,white,summer
214,225,235,153,174,191,202,200,189,82,48,73,white,spring
158,191,22,230,90,164,165,30,69,255,193,51,white,winter
82,104,143,236,213,187,255,255,255,113,1,23,white,spring
201,222,240,248,249,240,183,147,77,225,195,64,white,spring
112,84,68,210,201,194,184,128,90,93,52,27,white,spring
110,47,21,255,255,255,236,213,187,1,58,32,white,spring
31,53,65,0,122,169,158,195,224,199,192,200,white,summer
3,10,4,83,111,22,212,214,207,28,69,8,white,summer
11,84,113,133,183,214,246,240,231,121,124,130,white,summer
34,35,68,108,147,160,135,191,208,211,225,224,white,summer
4,4,0,4,35,96,15,100,192,233,238,240,white,summer
230,183,148,229,219,207,86,56,45,83,125,130,white,spring
194,149,107,145,116,92,84,84,80,244,215,172,white,summer
249,227,193,243,168,80,221,101,41,64,6,2,white,spring
243,234,225,168,186,194,241,161,126,190,147,145,white,spring
203,228,230,206,104,70,240,108,87,254,210,153,white,spring
242,147,103,169,138,176,239,237,228,143,162,89,white,spring
172,142,105,92,132,145,192,179,160,53,69,76,white,spring
90,86,37,211,177,194,155,24,97,235,0,0,white,spring
56,56,56,108,106,97,245,245,245,149,149,149,white,summer
223,201,112,62,52,42,246,244,240,239,51,64,white,spring
69,77,112,210,51,176,238,211,64,232,223,208,white,summer
75,44,131,200,200,210,89,222,126,149,5,227,white,spring
66,86,65,231,109,87,255,238,213,156,137,127,white,summer
152,177,174,177,168,158,143,28,63,89,84,33,white,spring
160,209,208,171,160,64,186,73,128,54,118,112,white,summer
195,96,1,44,109,13,138,66,122,87,53,131,white,summer
213,193,185,145,73,85,33,34,35,153,157,160,white,summer
215,228,123,255,193,113,163,178,186,207,162,160,white,spring
35,66,74,91,135,166,245,227,216,255,244,161,white,summer
72,29,1,206,207,203,245,99,26,254,198,79,white,summer
72,75,54,205,100,49,221,167,3,169,211,51,white,summer
37,35,43,154,106,88,215,198,185,146,68,58,white,summer
58,74,82,165,128,117,231,214,192,178,186,189,white,summer
220,173,153,0,185,190,11,28,72,211,218,218,white,summer
14,78,23,219,252,219,216,218,113,168,191,118,white,summer
129,85,186,237,213,151,1,90,138,214,142,154,white,spring
112,79,112,146,149,128,195,176,144,55,41,45,white,spring
241,240,237,210,196,175,160,160,160,50,36,36,white,spring
48,78,48,91,124,112,23,42,16,121,110,32,white,winter
103,130,114,201,171,61,225,91,24,74,112,4,white,summer
50,8,61,204,134,132,238,241,231,139,157,161,white,summer
255,221,195,255,244,239,255,61,51,104,129,155,white,spring
57,147,117,231,161,164,233,35,34,249,242,228,white,summer
104,105,96,168,170,141,209,210,208,186,212,224,white,summer
208,226,208,96,220,224,32,173,208,74,134,112,white,spring
201,217,240,173,182,255,254,196,55,254,91,214,white,spring
52,63,80,255,0,128,246,132,80,245,176,128,white,summer
3,10,4,255,84,18,255,184,93,17,129,200,white,summer
243,245,224,56,43,64,39,207,208,222,21,48,white,summer
90,208,232,244,239,219,255,66,78,102,76,82,white,spring
36,45,11,133,129,55,135,151,166,172,175,172,white,summer
255,136,130,250,233,226,116,17,47,3,37,34,white,spring
152,135,128,255,255,255,5,38,59,231,222,217,white,summer
238,201,156,49,111,55,97,61,9,1,58,32,white,summer
23,103,71,84,125,89,207,163,171,92,3,140,white,summer
213,192,201,120,227,255,68,42,54,255,177,206,white,spring
133,130,111,199,153,137,46,59,81,217,228,232,white,winter
120,125,18,206,203,182,24,52,76,13,98,146,white,summer
108,106,97,212,210,214,41,41,42,183,60,98,white,spring
66,69,84,243,168,137,236,68,12,48,217,200,white,summer
225,215,215,255,101,1,201,190,165,45,40,52,white,summer
93,169,206,170,205,229,116,179,215,34,101,158,white,spring
27,46,60,12,12,30,75,0,0,243,227,226,white,summer
12,17,32,44,77,144,223,224,224,50,130,224,white,summer
130,184,224,255,211,112,67,172,240,0,211,224,white,summer
213,192,201,120,227,255,68,42,54,255,177,206,white,spring
133,130,111,199,153,137,46,59,81,217,228,232,white,winter
66,69,84,243,168,137,236,68,12,48,217,200,white,summer
234,235,237,116,115,42,113,0,25,211,176,125,white,summer
253,50,130,84,41,218,120,159,64,255,199,15,white,summer
251,221,0,233,162,0,179,40,0,63,19,0,white,summer
41,34,32,106,85,48,221,167,64,244,226,171,white,summer
145,83,48,42,27,16,188,134,96,247,202,201,white,summer
52,45,32,228,205,192,94,8,0,165,180,176,white,summer
214,213,214,136,160,154,16,86,79,22,121,111,white,spring
95,78,64,158,110,64,242,203,87,239,202,144,white,summer
12,45,13,243,22,30,252,197,199,93,108,79,white,winter
236,233,224,93,95,96,33,49,48,138,158,161,white,summer
14,5,15,23,11,59,52,25,72,105,94,147,white,winter
197,152,175,65,82,113,204,114,138,173,44,64,white,spring
240,246,240,148,95,64,196,142,96,86,207,196,white,summer
255,194,199,145,17,28,244,228,235,174,195,188,white,summer
138,160,146,255,176,103,248,206,121,131,136,62,white,spring
186,176,153,211,153,68,236,248,127,111,116,60,white,spring
37,111,96,222,146,208,105,182,217,63,215,197,white,summer
45,36,36,92,61,46,184,92,56,224,192,151,white,summer
242,87,187,117,86,125,210,104,64,251,210,188,white,spring
159,43,0,242,237,233,218,116,111,241,180,22,white,summer
162,25,43,203,133,124,249,132,181,251,214,149,white,summer
151,168,160,236,238,224,220,151,80,148,188,192,white,spring
46,59,81,12,65,96,115,143,167,195,206,218,white,winter
79,58,48,216,224,34,207,36,16,19,203,224,white,summer
18,58,2,255,194,199,52,69,130,231,90,119,white,summer
31,32,32,85,104,144,244,185,184,254,236,192,white,summer
183,85,64,189,151,203,252,218,178,247,185,69,white,summer
235,240,148,154,164,35,59,84,16,222,230,76,white,summer
97,87,140,66,119,123,132,113,113,70,89,94,white,spring
46,93,58,219,219,219,179,193,168,241,131,63,white,summer
182,210,193,223,207,176,239,205,185,212,156,112,white,spring
241,190,108,219,232,225,160,224,228,225,148,181,white,spring
48,0,11,189,0,42,255,243,217,220,71,49,white,spring
221,210,192,147,224,224,86,97,96,46,86,96,white,spring
255,250,229,230,69,49,233,186,94,45,20,17,white,spring
251,210,48,31,187,160,27,79,64,196,203,192,white,summer
216,210,151,240,231,222,199,37,68,153,135,126,white,spring
173,81,191,191,104,92,150,61,103,222,186,214,white,spring
235,199,103,78,167,207,152,134,134,99,228,223,white,winter
251,210,48,31,187,160,27,79,64,196,203,192,white,summer
166,89,103,147,233,190,82,117,130,215,186,150,white,summer
118,90,64,228,199,171,52,38,23,251,236,220,white,summer
248,229,224,253,213,94,255,111,97,98,59,65,white,spring
154,208,221,232,219,203,169,152,238,73,90,77,white,spring
175,127,81,178,187,184,101,70,62,109,46,24,white,spring
37,52,28,113,166,46,199,250,199,139,224,57,white,spring
83,86,90,5,6,6,99,76,65,247,244,239,white,summer
242,238,247,27,74,86,163,163,183,255,26,76,white,spring
216,210,151,240,231,222,199,37,68,153,135,126,white,spring
61,51,57,158,186,211,248,231,224,137,121,144,white,summer
223,54,45,26,26,29,211,211,203,13,105,139,white,summer
46,86,96,86,97,96,107,219,224,221,210,192,white,summer
173,180,160,214,203,176,180,116,96,102,60,16,white,spring
244,226,67,253,213,94,45,115,193,65,72,60,white,summer
82,85,80,225,223,208,36,38,43,125,161,191,white,summer
215,213,215,125,116,133,81,165,174,4,0,0,white,spring
180,197,182,63,152,175,28,155,142,16,86,79,white,spring
178,60,60,95,167,208,2,132,118,1,80,43,white,summer
66,136,174,233,218,196,113,102,113,216,223,229,white,spring
36,32,43,255,240,223,169,112,97,108,71,61,white,spring
218,179,64,235,149,55,62,78,48,112,79,112,white,summer
130,152,103,199,214,229,240,232,173,118,130,112,white,spring
132,98,124,218,196,192,117,230,218,22,121,111,white,spring
106,108,80,131,64,48,204,113,48,224,186,71,white,summer
251,212,140,255,243,236,255,250,229,248,117,149,white,spring
226,220,208,32,32,32,189,178,160,84,93,96,white,summer
35,63,111,200,188,171,241,161,126,222,221,226,white,summer
